Antonov An-148 (241 nmi),4.23 kg/km (15.0 lb/mi)
Antonov An-158 (241 nmi),4.34 kg/km (15.4 lb/mi)
ATR 42-500,1.26 kg/km (4.5 lb/mi)
ATR 72-500,1.42 kg/km (5.0 lb/mi)
Beechcraft 1900D (226 nm),1.00 kg/km (3.56 lb/mi)
Bombardier CRJ100,2.21 kg/km (7.83 lb/mi)
Bombardier CRJ200,2.18 kg/km (7.73 lb/mi)
Bombardier CRJ700,2.95 kg/km (10.47 lb/mi)
Bombardier CRJ900,3.47 kg/km (12.31 lb/mi)
Bombardier Dash 8 Q400,2.16 kg/km (7.7 lb/mi)
Dornier 228,0.94 kg/km (3.3 lb/mi)
Dornier 328,1.22 kg/km (4.3 lb/mi)
Embraer Brasilia,0.92 kg/km (3.3 lb/mi)
Embraer ERJ-135ER (309 nmi),1.64 kg/km (5.83 lb/mi)
Embraer ERJ-145ER (305 nmi),1.76 kg/km (6.23 lb/mi)
Saab 340,1.1 kg/km (3.9 lb/mi)
Saab 2000,1.75 kg/km (6.2 lb/mi)
Xian MA700,1.69 kg/km (6.0 lb/mi)
Airbus A319neo,3.37 kg/km (11.94 lb/mi)
Airbus A319neo,2.82 kg/km (10 lb/mi)
Airbus A320neo,2.79 kg/km (9.9 lb/mi)
Airbus A321neo,3.30 kg/km (11.7 lb/mi)
Antonov An-148,2.89 kg/km (10.3 lb/mi)
Antonov An-158,3 kg/km (11 lb/mi)
Boeing 737-300,3.49 kg/km (12.4 lb/mi)
Boeing 737-600,3.16 kg/km (11.2 lb/mi)
Boeing 737-700,3.21 kg/km (11.4 lb/mi)
Boeing 737 MAX 7,2.85 kg/km (10.1 lb/mi)
Boeing 737 MAX 7,3.39 kg/km (12.01 lb/mi)
Boeing 737-800,3.59 kg/km (12.7 lb/mi)
Boeing 737 MAX 8,3.04 kg/km (10.8 lb/mi)
Boeing 737-900ER,3.83 kg/km (13.6 lb/mi)
Boeing 737 MAX 9,3.30 kg/km (11.7 lb/mi)
Boeing 757-200,4.68 kg/km (16.61 lb/mi)
Boeing 757-300,5.19 kg/km (18.41 lb/mi)
Bombardier CRJ100,1.87 kg/km (6.65 lb/mi)
Bombardier CRJ200,1.80 kg/km (6.39 lb/mi)
Bombardier CRJ700,2.45 kg/km (8.68 lb/mi)
Bombardier CRJ900,2.78 kg/km (9.88 lb/mi)
Bombardier CRJ1000,2.66 kg/km (9.4 lb/mi)
Airbus A220 100,2.8 kg/km (10.1 lb/mi)
Airbus A220 300,3.10 kg/km (11.01 lb/mi)
Airbus A220-100,2.57 kg/km (9.1 lb/mi)
Airbus A220-300,2.85 kg/km (10.11 lb/mi)
Bombardier Dash 8 Q400,1.83 kg/km (6.5 lb/mi)
Dornier 328,1.08 kg/km (3.8 lb/mi)
Embraer E-Jet E2-175,2.44 kg/km (8.64 lb/mi)
Embraer E-Jet E2-190,2.83 kg/km (10.04 lb/mi)
Embraer E-Jet E2-195,3.07 kg/km (10.91 lb/mi)
Embraer E-Jet-170,2.6 kg/km (9.3 lb/mi)
Embraer E-Jet-175,2.80 kg/km (9.95 lb/mi)
Embraer E-Jet-190,3.24 kg/km (11.48 lb/mi)
Embraer E-Jet-195,3.21 kg/km (11.38 lb/mi)
Embraer ERJ-135ER,1.44 kg/km (5.12 lb/mi)
Embraer ERJ-145ER,1.55 kg/km (5.49 lb/mi)
Pilatus PC-12,0.41 kg/km (1.5 lb/mi)
Saab 340,0.95 kg/km (3.4 lb/mi)
Saab 2000,1.54 kg/km (5.5 lb/mi)
Sukhoi SSJ100,2.81 kg/km (10.0 lb/mi)
Xian MA700,1.56 kg/km (5.5 lb/mi)
Airbus A319,2.93 kg/km (10.4 lb/mi)
Airbus A319neo,2.4 kg/km (8.6 lb/mi)
Airbus A320,3.13 kg/km (11.1 lb/mi)
Airbus A321-200,3.61 kg/km (12.8 lb/mi)
Airbus A330-200,5.6 kg/km (19.8 lb/mi)
Antonov An-148 (1190 nmi),2.75 kg/km (9.8 lb/mi)
Antonov An-158 (1190 nmi),2.83 kg/km (10.0 lb/mi)
Boeing 737-600,2.77 kg/km (9.8 lb/mi)
Boeing 737-700,2.82 kg/km (10.0 lb/mi)
Boeing 737-700,2.8 kg/km (9.9 lb/mi)
Boeing 737 MAX-7,2.51 kg/km (8.91 lb/mi)
Boeing 737-800,3.17 kg/km (11.2 lb/mi)
Boeing 737-800,3.45 kg/km (12.23 lb/mi)
Boeing 737-800W,3.18 kg/km (11.3 lb/mi)
Boeing 737 MAX-8,2.71 kg/km (9.6 lb/mi)
Boeing 737-900ER,3.42 kg/km (12.1 lb/mi)
Boeing 737-900ERW,3.42 kg/km (12.1 lb/mi)
Boeing 737 MAX-9,2.91 kg/km (10.3 lb/mi)
Boeing 757-200,4.60 kg/km (16.33 lb/mi)
Boeing 757-200,4.16 kg/km (14.76 lb/mi)
Boeing 757-300,4.68 kg/km (16.62 lb/mi)
Airbus A220-100,2.28 kg/km (8.1 lb/mi)
Airbus A220-300,2.56 kg/km (9.08 lb/mi)
Airbus A220-300,2.30 kg/km (8.17 lb/mi)
Quest Kodiak,0.71 kg/km (2.52 lb/mi)
Airbus A320,2.91 kg/km (10.3 lb/mi)
Airbus A321LR,2.99 kg/km (10.6 lb/mi)
Airbus A330-200,6 kg/km (21 lb/mi)
Airbus A330-300,6.25 kg/km (22.2 lb/mi)
Airbus A330-900,6 kg/km (21 lb/mi)
Airbus A340-300,6.81 kg/km (24.2 lb/mi)
