ND2,Aerospatiale (Nord) 262
NDC,Aerospatiale SN.601 Corvette
AT4,Aerospatiale/Alenia ATR 42-300 / 320
AT5,Aerospatiale/Alenia ATR 42-500
ATR,Aerospatiale/Alenia ATR 42-600
AT7,Aerospatiale/Alenia ATR 72-201/-202
ATR,Aerospatiale/Alenia ATR 72-211/-212
ATR,Aerospatiale/Alenia ATR 72-212A (500)
ATR,Aerospatiale/Alenia ATR 72-212A (600)
221,Airbus A220-100
223,Airbus A220-300
AB6,Airbus A300-600
ABB,"Airbus A300-600ST ""Super Transporter"" / ""Beluga"""
AB4,"Airbus A300B2, A300B4, and A300C4"
312,Airbus A310-200
313,Airbus A310-300
318,Airbus A318
32C,Airbus A318 (sharklets)
319,Airbus A319
32D,Airbus A319 (sharklets)
31N,Airbus A319neo
320,Airbus A320
32A,Airbus A320 (sharklets)
32N,Airbus A320neo
321,Airbus A321
32B,Airbus A321 (sharklets)
32Q,Airbus A321neo
332,Airbus A330-200
33X,Airbus A330-200 Freighter
333,Airbus A330-300
33Y,Airbus A330-300 Freighter
338,Airbus A330-800
339,Airbus A330-900
342,Airbus A340-200
343,Airbus A340-300
345,Airbus A340-500
346,Airbus A340-600
351,Airbus A350-1000
359,Airbus A350-900
388,Airbus A380-800
ANF,Antonov AN-12
A4F,Antonov AN-124 Ruslan
A40,Antonov AN-140
A81,Antonov An-148
A58,Antonov An-158
A5F,Antonov An-225 Mriya
AN4,Antonov AN-24
A26,Antonov AN-26
A28,Antonov AN-28
A30,Antonov AN-30
A32,Antonov AN-32
AN7,Antonov AN-72 / AN-74
AR1,Avro RJ100
AR7,Avro RJ70
AR8,Avro RJ85
141,BAe 146-100
142,BAe 146-200
143,BAe 146-300
BEH,Beechcraft 1900
BH2,Bell 212
BH2,Bell 412
BH2,Bell 429
703,Boeing 707
717,Boeing 717
B72,Boeing 720B
721,Boeing 727-100
722,Boeing 727-200
7MJ,Boeing 737 MAX 10
7M7,Boeing 737 MAX 7
7M8,Boeing 737 MAX 8
7M9,Boeing 737 MAX 9
732,Boeing 737-200
73F,Boeing 737-200 Freighter
733,Boeing 737-300
73Y,Boeing 737-300 Freighter
73C,Boeing 737-300 Winglets
734,Boeing 737-400
73P,Boeing 737-400 Freighter
735,Boeing 737-500
73E,Boeing 737-500 Winglets
736,Boeing 737-600
73G,Boeing 737-700 / Boeing 737-700ER
73W,Boeing 737-700 Winglets
738,Boeing 737-800
73U,Boeing 737-800 Freighter
73K,Boeing 737-800 Freighter Winglets
73H,Boeing 737-800 Winglets
739,Boeing 737-900 / Boeing 737-900ER
73J,Boeing 737-900 Winglets
74B,Boeing 747 LCF Dreamlifter
741,Boeing 747-100
74T,Boeing 747-100 Freighter
742,Boeing 747-200
74X,Boeing 747-200F
74C,Boeing 747-200M
743,Boeing 747-300
74D,Boeing 747-300M
744,Boeing 747-400 / Boeing 747-400ER
74Y,Boeing 747-400F / Boeing 747-400ERF
74E,Boeing 747-400M
74N,Boeing 747-8F
74H,Boeing 747-8I
74L,Boeing 747SP
74R,Boeing 747SR
74V,Boeing 747SR Freighter
752,Boeing 757-200
753,Boeing 757-300
75F,Boeing 757F
762,Boeing 767-200 / Boeing 767-200ER
76X,Boeing 767-200 Freighter / Boeing 767-200ER
763,Boeing 767-300
76Y,Boeing 767-300 Freighter
76W,Boeing 767-300 Winglets / Boeing 767-300ER
764,Boeing 767-400ER
772,Boeing 777-200 / Boeing 777-200ER
77X,Boeing 777-200 Freighter
77L,Boeing 777-200LR
773,Boeing 777-300
77W,Boeing 777-300ER
778,Boeing 777-8
779,Boeing 777-9
781,Boeing 787-10
788,Boeing 787-8
789,Boeing 787-9
N/A,Boeing B-52 Stratofortress
K35,Boeing KC-135 Stratotanker
CCX,Bombardier BD-700 Global 5000
CCX,Bombardier Global Express / Raytheon Sentinel
B11,British Aerospace (BAC) One Eleven
H25,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
H25,British Aerospace 125-1000 series / Hawker/Raytheon 1000
ATP,British Aerospace ATP
J31,British Aerospace Jetstream 31
J32,British Aerospace Jetstream 32
J41,British Aerospace Jetstream 41
